"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Condition","BldgType","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","MasVnrType","MasVnrArea","ExterQual","ExterCond","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","MoSold","YrSold","SalePrice"
1,60,"RL",65,8450,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",7,5,2003,2003,"Gable","CompShg","BrkFace",196,"Gd","TA",856,"GasA","Ex","Y","SBrkr",856,854,0,1710,1,0,2,1,3,1,"Gd",8,0,2,548,"TA","TA","Y",0,61,0,0,0,0,NA,2,2008,208500
2,20,"RL",80,9600,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","Feedr","1Fam",6,8,1976,1976,"Gable","CompShg","None",0,"TA","TA",1262,"GasA","Ex","Y","SBrkr",1262,0,0,1262,0,1,2,0,3,1,"TA",6,1,2,460,"TA","TA","Y",298,0,0,0,0,0,NA,5,2007,181500
3,60,"RL",68,11250,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Norm","1Fam",7,5,2001,2002,"Gable","CompShg","BrkFace",162,"Gd","TA",920,"GasA","Ex","Y","SBrkr",920,866,0,1786,1,0,2,1,3,1,"Gd",6,1,2,608,"TA","TA","Y",0,42,0,0,0,0,NA,9,2008,NA
4,70,"RL",60,9550,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Norm","1Fam",7,5,1915,1970,"Gable","CompShg","None",0,"TA","TA",756,"GasA","Gd","Y","SBrkr",961,756,0,1717,1,0,1,0,3,1,"Gd",7,1,3,642,"TA","TA","Y",0,35,272,0,0,0,NA,2,2006,140000
5,60,"RL",84,14260,"Pave",NA,"IR1","Lvl","AllPub","FR2","Gtl","Norm","1Fam",8,5,2000,2000,"Gable","CompShg","BrkFace",350,"Gd","TA",1145,"GasA","Ex","Y","SBrkr",1145,1053,0,2198,1,0,2,1,4,1,"Gd",9,1,3,836,"TA","TA","Y",192,84,0,0,0,0,NA,12,2008,250000
6,50,"RL",85,14115,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Norm","1Fam",5,5,1993,1995,"Gable","CompShg","None",0,"TA","TA",796,"GasA","Ex","Y","SBrkr",796,566,0,1362,1,0,1,1,1,1,"TA",5,0,2,480,"TA","TA","Y",40,30,0,320,0,0,NA,10,2009,143000
7,20,"RL",75,10084,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",8,5,2004,2005,"Gable","CompShg","Stone",186,"Gd","TA",1686,"GasA","Ex","Y","SBrkr",1694,0,0,1694,1,0,2,0,3,1,"Gd",7,1,2,636,"TA","TA","Y",255,57,0,0,0,0,NA,8,2007,307000
8,60,"RL",NA,10382,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","PosN","1Fam",7,6,1973,1973,"Gable","CompShg","Stone",240,"TA","TA",1107,"GasA","Ex","Y","SBrkr",1107,983,0,2090,1,0,2,1,3,1,"TA",7,2,2,484,"TA","TA","Y",235,204,228,0,0,0,NA,11,2009,200000
9,50,"RM",51,6120,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Artery","1Fam",7,5,1931,1950,"Gable","CompShg","None",0,"TA","TA",952,"GasA","Gd","Y","FuseF",1022,752,0,1774,0,0,2,0,2,2,"TA",8,2,2,468,"Fa","TA","Y",90,0,205,0,0,0,NA,4,2008,129900
10,190,"RL",50,7420,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Artery","2fmCon",5,6,1939,1950,"Gable","CompShg","None",0,"TA","TA",991,"GasA","Ex","Y","SBrkr",1077,0,0,1077,1,0,1,0,2,2,"TA",5,2,1,205,"Gd","TA","Y",0,4,0,0,0,0,NA,1,2008,118000
