ID,Karat,Farbe,Klarheit,Preis
1,0.3,D,VS2,1302
2,0.3,E,VS1,1510
3,0.3,G,VVS1,1510
4,0.3,G,VS1,1260
5,0.31,D,VS1,1641
6,0.31,E,VS1,1555
7,0.31,F,VS1,1427
8,0.31,G,VVS2,1427
9,0.31,H,VS2,1126
10,0.31,I,VS1,1126
11,0.32,F,VS1,1468
12,0.32,G,VS2,1202
13,0.33,E,VS2,1327
14,0.33,I,VS2,1098
15,0.34,E,VS1,1693
16,0.34,F,VS1,1551
17,0.34,G,VS1,1410
18,0.34,G,VS2,1269
19,0.34,H,VS1,1316
20,0.34,H,VS2,1222
21,0.35,E,VS1,1738
22,0.35,F,VS1,1593
23,0.35,G,VS1,1447
24,0.35,H,VS2,1255
25,0.36,F,VS1,1635
26,0.36,H,VVS2,1485
27,0.37,F,VS2,1420
28,0.37,H,VS1,1420
29,0.4,F,VS1,1911
30,0.4,H,VS1,1525
31,0.41,F,VS1,1956
32,0.43,H,VVS2,1747
33,0.45,I,VS1,1572
34,0.46,E,VVS2,2942
35,0.48,G,VVS2,2532
36,0.5,E,VS1,3501
37,0.5,E,VS1,3501
38,0.5,F,VVS2,3501
39,0.5,F,VS1,3293
40,0.5,G,VS1,3016
41,0.51,F,VVS2,3567
42,0.51,G,VS1,3205
43,0.52,D,VS2,3490
44,0.52,E,VS1,3635
45,0.52,F,VVS2,3635
46,0.52,F,VS1,3418
47,0.53,D,VS1,3921
48,0.53,F,VVS2,3701
49,0.53,F,VS1,3480
50,0.53,G,VVS2,3407
51,0.54,E,VS1,3767
52,0.54,F,VVS1,4066
53,0.55,E,VVS2,4138
54,0.55,F,VS1,3605
55,0.55,G,VVS2,3529
56,0.56,F,VS1,3667
57,0.56,I,VVS2,2892
58,0.57,G,VVS2,3651
59,0.59,G,VVS2,3773
60,0.6,F,VS1,4291
61,0.62,E,VVS1,5845
62,0.63,G,VVS2,4401
63,0.64,G,VVS1,4759
64,0.66,H,VVS1,4300
65,0.7,F,VS1,5510
66,0.7,G,VS1,5122
67,0.7,H,VVS2,5122
68,0.7,I,VS2,3861
69,0.71,F,VVS2,5881
70,0.71,F,VS1,5586
71,0.71,F,VS2,5193
72,0.71,H,VVS2,5193
73,0.72,F,VS2,5263
74,0.8,I,VVS2,5441
75,0.82,I,VS2,4948
76,0.84,H,VS2,5705
77,0.85,F,VS2,6805
78,0.86,H,VVS2,6882
79,0.89,H,VS1,6709
80,0.9,I,VVS2,6682
81,0.5,E,VS1,3501
82,0.5,G,VVS1,3432
83,0.51,F,VVS1,3851
84,0.55,H,IF,3605
85,0.56,E,VS1,3900
86,0.57,H,VVS1,3415
87,0.6,H,IF,4291
88,0.63,E,IF,6512
89,0.7,E,VS1,5800
90,0.7,F,VVS1,6285
91,0.7,F,VS2,5122
92,0.7,F,VS2,5122
93,0.7,G,VS1,5122
94,0.7,H,VVS2,5122
95,0.71,D,VS1,6372
96,0.71,E,VS1,5881
97,0.71,H,VVS2,5193
98,0.72,E,VS1,5961
99,0.72,H,VVS1,5662
100,0.73,E,VS2,5738
101,0.73,H,VS1,5030
102,0.73,H,VS1,5030
103,0.73,I,VVS1,4727
104,0.73,I,VS1,4221
105,0.74,G,VVS2,5815
106,0.74,H,VS2,4585
107,0.75,D,VVS2,7368
108,0.75,I,VVS2,4667
109,0.75,I,VS1,4355
110,0.76,D,IF,9885
111,0.77,F,VVS1,6919
112,0.78,H,VS1,5386
113,0.8,I,VS2,4832
114,0.83,E,VS2,7156
115,0.9,F,VS1,7680
116,1,D,VVS1,15582
