ID,GESCHLECHT,ALTER,J_VERH,KINDER,REL,GRAD,ANZAHL_AFF,LUEGE
1,M,37,10,Nein,3,4,0,21
2,F,27,4,Nein,4,4,0,17
3,F,32,15,Ja,1,4,0,28
4,M,57,15,Ja,5,5,0,19
5,M,22,"0,75",Nein,2,3,0,5
6,F,32,"1,5",Nein,2,5,0,16
7,F,22,"0,75",Nein,2,3,0,23
8,M,57,15,Ja,2,4,0,26
9,F,32,15,Ja,4,2,0,24
10,M,22,"1,5",Nein,4,5,0,25
11,M,37,15,Ja,2,2,0,16
12,M,27,4,Ja,4,4,0,20
13,M,47,15,Ja,5,4,0,33
14,F,22,"1,5",Nein,2,4,0,21
15,F,27,4,Nein,4,4,0,13
16,F,37,15,Ja,1,5,0,15
17,F,37,15,Ja,2,3,0,30
18,F,22,"0,75",Nein,3,4,0,17
19,F,22,"1,5",Nein,2,5,0,23
20,F,27,10,Ja,2,5,0,17
21,F,22,"1,5",Nein,2,5,0,18
22,F,22,"1,5",Nein,2,5,0,20
23,F,27,10,Ja,4,4,0,25
24,F,32,10,Ja,3,5,0,26
25,M,37,4,Ja,2,4,0,28
26,F,22,"1,5",Nein,2,5,0,9
27,F,27,7,Nein,4,5,0,27
28,M,42,15,Ja,5,4,0,33
29,M,27,4,Ja,3,5,0,11
30,F,27,4,Ja,3,4,0,11
31,M,42,15,Ja,4,3,0,27
32,F,22,"1,5",Nein,3,5,0,11
33,M,27,"41,7",Nein,4,4,0,24
34,F,42,15,Ja,5,4,0,35
35,M,32,4,Ja,1,4,0,25
36,F,22,"1,5",Nein,4,3,0,20
37,F,42,15,Ja,3,4,0,26
38,F,22,4,Nein,4,5,0,16
39,M,22,"1,5",Ja,1,5,0,20
40,F,22,"0,75",Nein,3,5,0,21
41,M,32,10,Ja,5,5,0,29
42,M,52,15,Ja,5,3,0,36
43,F,22,"41,7",Nein,5,4,0,26
44,F,27,4,Ja,2,1,0,19
45,F,32,7,Ja,5,3,0,32
46,M,22,4,Nein,3,5,0,28
47,F,27,7,Ja,4,5,0,21
48,F,42,15,Ja,2,4,0,14
49,M,27,"1,5",Ja,4,5,0,25
50,M,42,15,Ja,2,4,0,25
51,F,22,"0,75",Nein,5,5,0,24
52,M,32,7,Ja,2,4,0,25
53,M,27,4,Ja,5,5,0,37
54,M,27,10,Ja,4,4,0,33
55,M,22,4,Nein,1,5,0,22
56,F,37,15,Ja,4,1,0,32
57,M,22,"1,5",Ja,5,4,0,32
58,F,37,15,Ja,4,5,0,20
59,F,27,"0,75",Nein,4,4,0,23
60,M,32,10,Ja,4,4,0,23
61,F,47,15,Ja,5,2,0,23
62,M,37,10,Ja,3,4,0,30
63,F,22,"0,75",Nein,2,5,0,16
64,M,27,4,Nein,2,5,0,24
65,M,32,7,Nein,4,4,0,27
66,M,42,15,Ja,2,5,0,33
67,M,37,10,Ja,4,4,0,25
68,F,47,15,Ja,3,5,0,23
69,F,22,"1,5",Nein,5,5,0,23
70,F,27,"1,5",Nein,2,4,0,11
71,F,27,4,Nein,3,5,0,23
72,F,32,10,Ja,5,5,0,35
73,F,22,"12,5",Nein,2,5,0,3
74,M,47,15,Ja,4,3,0,27
75,M,32,15,Ja,1,5,0,22
76,M,27,7,Ja,4,5,0,23
77,F,22,"1,5",Ja,3,5,0,22
78,M,27,4,Ja,3,5,0,23
79,F,22,"1,5",Nein,3,5,0,16
80,M,57,15,Ja,2,2,0,20
81,M,17.5,"1,5",Ja,3,5,0,23
82,M,57,15,Ja,4,5,0,36
83,F,22,"0,75",Nein,2,4,0,12
84,M,42,4,Nein,4,3,0,27
85,F,22,"1,5",Ja,4,5,0,30
86,F,22,"41,7",Nein,1,4,0,13
87,F,32,15,Ja,4,5,0,25
88,F,27,"1,5",Nein,3,2,0,21
89,F,22,"1,5",Ja,3,5,0,14
90,F,37,15,Ja,3,4,0,26
91,F,32,15,Ja,4,4,0,26
92,M,37,10,Ja,2,3,0,29
93,M,37,10,Ja,4,4,0,27
94,M,57,15,Ja,5,3,0,28
95,M,27,"41,7",Nein,1,4,0,19
96,F,42,15,Ja,5,5,0,39
97,M,57,15,Ja,3,1,0,9
98,M,37,10,Ja,1,4,0,32
99,M,37,15,Ja,3,5,0,26
100,M,37,15,Ja,4,5,0,23
101,F,27,10,Ja,5,5,0,19
102,M,37,10,Ja,2,4,0,26
103,F,22,"12,5",Nein,4,5,0,21
104,M,57,15,Ja,5,5,0,28
105,F,37,15,Ja,4,4,0,26
106,M,22,4,Ja,4,4,0,31
107,M,27,7,Ja,4,4,0,30
108,M,57,15,Ja,4,4,0,28
109,M,32,15,Ja,3,3,0,23
110,F,22,"1,5",Nein,2,4,0,14
111,F,32,7,Ja,4,5,0,19
112,F,37,15,Ja,4,5,0,18
113,F,32,"1,5",Nein,5,5,0,23
114,M,42,10,Ja,5,4,0,29
115,F,27,7,Nein,3,4,0,18
116,M,37,15,Nein,4,5,0,32
117,M,37,15,Ja,4,2,0,30
118,M,32,10,Nein,5,4,0,26
119,F,22,"0,75",Nein,4,5,0,17
120,F,27,7,Ja,4,4,0,26
121,F,27,7,Ja,2,5,0,25
122,F,42,15,Ja,5,4,0,24
123,M,42,15,Ja,4,3,0,24
124,F,27,7,Ja,2,2,0,21
125,F,22,"1,5",Nein,3,5,0,19
126,M,37,15,Ja,5,5,0,32
127,F,22,"12,5",Nein,2,5,0,9
128,M,27,"1,5",Nein,4,5,0,29
129,M,32,"1,5",Nein,2,5,0,14
130,M,27,"1,5",Nein,2,5,0,10
131,F,27,10,Ja,4,3,0,20
132,M,42,15,Ja,4,5,0,25
133,F,27,"1,5",Nein,2,5,0,15
134,M,27,4,Nein,2,3,0,27
135,F,32,10,Ja,3,3,0,25
136,F,32,15,Ja,3,4,0,27
137,F,22,"0,75",Nein,2,5,0,12
138,F,37,15,Ja,2,4,0,16
139,M,27,4,Ja,4,5,0,20
140,M,27,4,Nein,1,4,0,20
141,F,27,10,Ja,2,4,0,16
142,F,32,15,Ja,5,4,0,30
143,M,27,7,Ja,5,3,0,28
144,M,52,15,Ja,2,4,0,26
145,M,27,4,Nein,3,3,0,26
