school,sex,age,reason,failures,Walc,absences,G1,FinalScore
GP,F,18,course,0,1,6,5,6
GP,F,17,course,0,1,4,5,6
GP,F,15,other,3,3,10,7,10
GP,F,15,home,0,1,2,15,15
GP,F,16,home,0,2,4,6,10
GP,M,16,reputation,0,2,10,15,15
GP,M,16,home,0,1,0,12,11
GP,F,17,home,0,1,6,6,6
GP,M,15,home,0,1,0,16,19
GP,M,15,home,0,1,0,14,15
GP,F,15,reputation,0,2,0,10,9
GP,F,15,reputation,0,1,4,10,12
GP,M,15,course,0,3,2,14,14
GP,M,15,course,0,2,2,10,11
GP,M,15,home,0,1,0,14,16
GP,F,16,home,0,2,4,14,14
GP,F,16,reputation,0,2,6,13,14
GP,F,16,reputation,0,1,4,8,10
GP,M,17,course,3,4,16,6,5
GP,M,16,home,0,3,4,8,10
GP,M,15,reputation,0,1,0,13,15
GP,M,15,other,0,1,0,12,15
GP,M,16,course,0,3,2,15,16
GP,M,16,reputation,0,4,0,13,12
GP,F,15,course,0,1,2,10,8
GP,F,16,home,2,3,14,6,8
GP,M,15,home,0,2,2,12,11
GP,M,15,other,0,4,4,15,15
GP,M,16,home,0,1,4,11,11
GP,M,16,home,0,5,16,10,11
GP,M,15,home,0,4,0,9,12
GP,M,15,reputation,0,1,0,17,17
GP,M,15,course,0,1,0,17,16
GP,M,15,course,0,1,0,8,12
GP,M,16,home,0,1,0,12,15
GP,F,15,other,0,1,0,8,6
GP,M,15,home,0,1,2,15,18
GP,M,16,reputation,0,1,7,15,15
GP,F,15,course,0,1,2,12,11
GP,F,15,reputation,0,1,8,14,13
GP,F,16,home,1,2,25,7,11
GP,M,15,home,0,4,8,12,12
GP,M,15,course,0,1,2,19,18
GP,M,15,course,0,1,0,8,11
GP,F,16,course,1,2,14,10,9
GP,F,15,course,0,1,8,8,6
GP,F,16,home,0,4,12,11,11
GP,M,16,reputation,0,1,4,19,20
GP,M,15,home,0,2,2,15,14
GP,F,15,other,1,1,2,7,7
GP,F,16,course,0,3,2,12,13
GP,F,15,other,0,1,2,11,13
GP,M,15,other,1,4,6,11,10
GP,F,15,course,0,3,0,8,11
GP,F,15,other,0,4,6,10,13
GP,F,16,other,0,1,8,8,10
GP,F,15,reputation,0,1,0,14,15
GP,M,15,reputation,0,1,4,14,15
GP,M,15,home,0,1,2,9,9
GP,F,16,course,0,1,2,15,16
GP,F,16,other,0,3,6,10,11
GP,F,16,course,0,5,6,10,11
GP,F,16,reputation,0,1,4,8,9
GP,F,16,home,0,4,2,10,9
GP,F,15,reputation,0,4,0,10,10
GP,F,16,course,0,2,2,16,15
GP,M,15,reputation,0,5,4,13,12
GP,F,16,course,0,2,4,7,6
GP,F,15,reputation,0,3,2,8,8
GP,F,15,reputation,0,3,12,16,16
GP,M,16,reputation,0,1,0,13,15
GP,M,15,course,0,1,0,10,10
GP,F,15,reputation,2,4,2,8,5
GP,M,16,reputation,0,2,2,12,14
GP,F,16,home,0,4,54,11,11
