WEINSAEU,ESSAEU,ZTROSAEU,RESTZUCKER,CHLORIDE,DICHTE,PH,SULFAT,ALKOHOL,SORTE
"6,8","0,26","0,56","11,9","0,043","0,997","3,02","0,63","9,3",4
"7,1","0,26","0,31","2,2","0,044","0,9937","3,34","0,64","10,9",3
"6,3","0,27","0,23","2,9","0,047","0,9936","3,28","0,43","9,8",1
"7,3","0,24","0,3","2,5","0,042","0,9911","3,05","0,56","11,3",3
7,"0,36","0,32","10,5","0,045","0,9935","3,09","0,33","11,6",2
"6,4","0,23","0,37","7,9","0,05","0,99488","2,86","0,49","9,3",1
"6,6","0,26","0,46","7,8","0,047","0,9958","3,2","0,54","9,1",1
"5,9","0,34","0,31",2,"0,03","0,98892","3,4","0,41","12,9",4
"7,8","0,3","0,36","4,6","0,024","0,99222","3,06","0,66","11,9",4
"6,5","0,2","0,31","2,1","0,033","0,989435","2,96","0,61",12,4
"6,7","0,25","0,34","12,85","0,048","0,9986","3,44","0,47","9,5",1
"5,1","0,42","0,01","1,5","0,017","0,9894","3,38","0,36","12,3",3
"9,4","0,3","0,32","10,7","0,029","0,9958","2,85","0,42","10,6",1
"6,2","0,22","0,27","1,5","0,064","0,9938","3,22","0,46","9,2",1
"7,6","0,32","0,25","9,5","0,03","0,99367","3,1","0,44","12,1",4
"5,2","0,25","0,23","1,4","0,047","0,99001","3,32","0,62","11,4",2
"6,8","0,26","0,44","8,2","0,046","0,99584","3,2","0,51","9,4",3
"6,6","0,22","0,37","15,4","0,035","0,99845","3,02","0,4","9,3",2
"5,5","0,16","0,26","1,5","0,032","0,99076","3,43","0,77",12,4
"6,9","0,19","0,35","13,5","0,038","0,99546",3,"0,63","10,7",3
"5,8","0,555","0,26","4,5","0,053","0,9943","3,24","0,46","9,1",1
"8,9","0,13","0,49",1,"0,028","0,9926","2,91","0,32","9,9",3
"5,9","0,14","0,2","1,6","0,04","0,99105","3,25","0,45","11,4",4
"8,1","0,28","0,39","1,9","0,029","0,9923","3,23","0,52","11,8",3
7,"0,22","0,28","10,6","0,039","0,99355","3,05","0,55","11,5",1
"7,4","0,25","0,49","1,1","0,042","0,9917","3,13","0,55","11,3",3
"7,3","0,24","0,34","15,4","0,05","0,9983","3,03","0,42",9,2
"6,7","0,37","0,25","2,5","0,028","0,9909","3,14","0,36","11,7",3
"6,9","0,22","0,49",7,"0,063","0,9957","3,54","0,5","10,3",3
"8,6","0,265","0,36","1,2","0,034","0,9913","2,95","0,36","11,4",4
